_key,ts,platform,ms_played,conn_country,ip_addr,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode,,2569356727,plays
0,2024-02-05T17:58:52Z,ios,47230,US,73.11.100.100,ONLY,LeeHi,4 ONLY,spotify:track:6TBJkXHPhu3EsMk1bshwuI,,,,trackdone,fwdbtn,FALSE,TRUE,FALSE,1707155884,FALSE,,2569356.727,seconds
1,2024-02-05T18:05:35Z,ios,286226,US,73.11.100.100,Hold Me Now,Thompson Twins,Into the Gap,spotify:track:43h4FonpCeaaURpFpiQsf9,,,,fwdbtn,trackdone,FALSE,FALSE,FALSE,1707155932,FALSE,,1013,artists
2,2024-02-05T18:06:20Z,ios,1088,US,73.11.100.100,Come On Eileen - Single Edit,Dexys Midnight Runners,Too-Rye-Ay,spotify:track:58VaIfHQzC0jflv7zEWyoZ,,,,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,1707156380,FALSE,,,
3,2024-02-05T18:06:20Z,ios,49322,US,73.11.100.100,Don’t Matter To Me (with Michael Jackson),Drake,Scorpion,spotify:track:6G8kHiVZ1jW7vHMPVRNZU0,,,,trackdone,fwdbtn,FALSE,TRUE,FALSE,1707156329,FALSE,,,
4,2024-02-05T18:06:21Z,ios,938,US,73.11.100.100,Home,Good Neighbours,Home,spotify:track:68mOSKT4uBkKddEAhlMO61,,,,fwdbtn,fwdbtn,FALSE,TRUE,FALSE,1707156381,FALSE,,,
5,2024-02-05T18:06:52Z,ios,1151,US,73.11.100.100,Praise Jah In The Moonlight,YG Marley,Praise Jah In The Moonlight,spotify:track:3h5TiWTqGxjSjFrbruPFH9,,,,fwdbtn,endplay,FALSE,TRUE,FALSE,1707156382,FALSE,,,
6,2024-02-05T18:09:37Z,ios,165106,US,73.11.100.100,God Be with You Til We Meet Again,The Tabernacle Choir at Temple Square,Called to Serve,spotify:track:1KqftDlN7Q4eGDACoGy9Ez,,,,clickrow,trackdone,FALSE,FALSE,FALSE,1707156413,FALSE,,,
7,2024-02-05T18:09:58Z,ios,25248,US,73.11.100.100,Celtic Alleluia,Christopher Walker,"Rise up and Sing 3rd Edition, Vol. 2",spotify:track:4uQKgGR5yprv3WtkO3x9qb,,,,trackdone,fwdbtn,FALSE,TRUE,FALSE,1707156572,FALSE,,,
8,2024-02-05T18:14:59Z,ios,302293,US,73.11.100.100,I Believe in Christ,Roger Hoffman,Consider the Lilies,spotify:track:67VNU8IdT4IKicwS69TqAO,,,,fwdbtn,trackdone,FALSE,FALSE,FALSE,1707156598,FALSE,,,
9,2024-02-05T18:18:44Z,ios,231199,US,73.11.100.100,Because of Him,Mack Wilberg,Because of Him,spotify:track:29AtInQ4hnl6RMXgoCtN6P,,,,trackdone,trackdone,FALSE,FALSE,FALSE,1707156894,FALSE,,,
